Method,RF_Normal,std_1,RF_Cheap,std_2,NN_Normal,std_3,NN_Cheap,std_4
Original,0,0,0,0,0,0,0,0
MSE_threshold,-1,-1,-1,-1,-1,-1,-1,-1
MW,59.40448263,0,0,0,0,0,67.3275557,71.95361819
MWthenTW,-1,-1,-1,-1,-1,-1,-1,-1
Noise,52.5889001,15.75601775,3.044627166,62.22165272,13.64964959,36.23904122,94.22925023,99.50736973
RD,2.902409402,33.73307523,0,0,11.78044012,26.69384517,93.99271056,99.66581448
TW,38.82896122,0,0,77.57728845,28.29132737,11.91560193,87.18262163,80.22351371
TWthenNoise,-1,-1,-1,-1,-1,-1,-1,-1
WW,0,0,0,0,20.96692505,37.55689424,60.75831587,14.99163758
WWthenNoise,-1,-1,-1,-1,-1,-1,-1,-1
