Method,RF_Normal,std_1,RF_Cheap,std_2,NN_Normal,std_3,NN_Cheap,std_4
Original,0,0,0,0,0,0,0,0
MSE_threshold,-1,-1,-1,-1,-1,-1,-1,-1
MW,0,0,0,0,0,0,10.8953322,44.66759872
MWthenTW,-1,-1,-1,-1,-1,-1,-1,-1
Noise,0,17.47381462,0,0,13.67287887,53.39691111,65.9580507,89.30244545
RD,13.07391795,56.09681041,0,5.369764098,9.351053024,52.03593157,75.94263709,97.58362493
TW,1.754995547,0,0,0,14.83103742,33.46836268,25.04055376,21.80968529
TWthenNoise,-1,-1,-1,-1,-1,-1,-1,-1
WW,0,32.13238453,0,0,17.26496349,34.10586728,39.13439859,69.22947572
WWthenNoise,-1,-1,-1,-1,-1,-1,-1,-1
