Method,RF_Normal,std_1,RF_Cheap,std_2,NN_Normal,std_3,NN_Cheap,std_4
Original,0,0,0,0,0,0,0,0
MSE_threshold,-1,-1,-1,-1,-1,-1,-1,-1
MW,0,0,0,0,14.1044891,0,37.70380301,73.84538333
MWthenTW,-1,-1,-1,-1,-1,-1,-1,-1
Noise,19.02641524,0,0,10.14901255,47.47260592,19.8371813,56.26298566,97.72086563
RD,0,34.82491096,0,0,50.58043479,41.31404146,58.62280478,96.91868039
TW,0,0,0,69.09882881,45.77697052,42.02274863,56.69236199,92.79650783
TWthenNoise,-1,-1,-1,-1,-1,-1,-1,-1
WW,0,0,0,65.28049422,25.4842999,0,56.79097708,93.64454359
WWthenNoise,-1,-1,-1,-1,-1,-1,-1,-1
