Method,RF_Normal,std_1,RF_Cheap,std_2,NN_Normal,std_3,NN_Cheap,std_4
Original,0,0,0,0,0,0,0,0
MSE_threshold,-1,-1,-1,-1,-1,-1,-1,-1
MW,2.16946359,0,0,0,37.78322155,40.88322454,0,0
MWthenTW,-1,-1,-1,-1,-1,-1,-1,-1
Noise,0,46.48597555,0,0,48.14141704,83.40237581,20.13474334,75.41684357
RD,0,0,0,0,52.02953762,95.76526096,19.11754945,0.308327249
TW,0,0,0,0,23.02604205,24.2447281,3.829944021,40.70383583
TWthenNoise,-1,-1,-1,-1,-1,-1,-1,-1
WW,0,0,0,0,26.52192604,18.1256352,0.064703798,0
WWthenNoise,-1,-1,-1,-1,-1,-1,-1,-1
