Method,RF_Normal,std_1,RF_Cheap,std_2,NN_Normal,std_3,NN_Cheap,std_4
Original,0,0,0,0,0,0,0,0
MSE_threshold,-1,-1,-1,-1,-1,-1,-1,-1
MW,4.308458758,0,0,0,41.499279,42.18672495,43.88068075,51.49963975
MWthenTW,-1,-1,-1,-1,-1,-1,-1,-1
Noise,14.09273916,0,0,29.6909929,38.66686657,33.55467435,44.22178908,80.27110465
RD,0,0,0,0,40.57013951,0,33.82370405,39.09727873
TW,0,0,8.027489249,0,31.64184858,0,13.05232091,7.777321404
TWthenNoise,-1,-1,-1,-1,-1,-1,-1,-1
WW,2.391508356,0,5.813117147,0,10.78679614,0,0,0
WWthenNoise,-1,-1,-1,-1,-1,-1,-1,-1
